Timestamp,What is your name?,How many hours of sleep did you get yesterday?,Rate your roommate on a scale of 1-10,How good is the food?,How is the cow?,Which group is the best in Cluster 11?
7/8/2025 9:50:20,2,cake,5,2,like beef,Pattern Seekers
7/8/2025 9:50:21,2,8,10,4,I like the milk,Group 5
7/8/2025 9:50:29,2,7,10,3,good,Group 5
7/8/2025 9:50:31,2,1,8,3,moo,Group 5
7/8/2025 9:50:35,3,6,8,4,good,Group 5
7/8/2025 9:51:04,2,6 hours 9 minutes,10,1,Moo,Pattern Seekers
7/8/2025 9:51:08,3,54,8,3,moo,Pattern Seekers
7/8/2025 9:51:25,2,2,10,5,cheeseburger,Group 5
7/8/2025 9:51:25,2,8,10,3,it wants to eat you,Pattern Seekers
7/8/2025 9:51:32,3,9,10,3,smelly,Pattern Seekers
7/8/2025 9:52:03,2,A HUNEDDDDDDDDD,10,1,mooooooo,Pattern Seekers
7/8/2025 9:52:40,2,-3,6,1,well,Pattern Seekers
7/8/2025 9:52:42,1,17,10,3,fine,Group 5
7/8/2025 9:53:35,3,6 or 7,7,1,good,Pattern Seekers
7/8/2025 9:53:40,2,6.51,8,4,the cow is udderly my gramma,Pattern Seekers
7/8/2025 9:54:01,1,1,1,1,1,Pattern Seekers
